Started at: 02:01:18
SBQ

📌 Processing: /DATA/rohan_kirti/niladri/country/china/SBQ/China_SBQ.xlsx
cuju
✅ Saved → SBQ | cuju | Row 0
✅ Saved → SBQ | cuju | Row 113
✅ Saved → SBQ | cuju | Row 114
✅ Saved → SBQ | cuju | Row 115
✅ Saved → SBQ | cuju | Row 116
✅ Saved → SBQ | cuju | Row 117
✅ Saved → SBQ | cuju | Row 118
✅ Saved → SBQ | cuju | Row 119
✅ Saved → SBQ | cuju | Row 120
✅ Saved → SBQ | cuju | Row 121
✅ Saved → SBQ | cuju | Row 122
✅ Saved → SBQ | cuju | Row 123
✅ Saved → SBQ | cuju | Row 124
✅ Saved → SBQ | cuju | Row 125
✅ Saved → SBQ | cuju | Row 126
✅ Saved → SBQ | cuju | Row 127
✅ Saved → SBQ | cuju | Row 128
✅ Saved → SBQ | cuju | Row 129
✅ Saved → SBQ | cuju | Row 130
✅ Saved → SBQ | cuju | Row 131
✅ Saved → SBQ | cuju | Row 133
✅ Saved → SBQ | cuju | Row 134
✅ Saved → SBQ | cuju | Row 135
✅ Saved → SBQ | cuju | Row 136
✅ Saved → SBQ | cuju | Row 137
✅ Saved → SBQ | cuju | Row 139
✅ Saved → SBQ | cuju | Row 140
✅ Saved → SBQ | cuju | Row 141
✅ Saved → SBQ | cuju | Row 142
✅ Saved → SBQ | cuju | Row 143
✅ Saved → SBQ | cuju | Row 145
✅ Saved → SBQ | cuju | Row 146
✅ Saved → SBQ | cuju | Row 147
✅ Saved → SBQ | cuju | Row 148
dragon boat racing
✅ Saved → SBQ | dragon boat racing | Row 0
✅ Saved → SBQ | dragon boat racing | Row 1
✅ Saved → SBQ | dragon boat racing | Row 2
✅ Saved → SBQ | dragon boat racing | Row 3
✅ Saved → SBQ | dragon boat racing | Row 4
✅ Saved → SBQ | dragon boat racing | Row 5
✅ Saved → SBQ | dragon boat racing | Row 6
✅ Saved → SBQ | dragon boat racing | Row 7
✅ Saved → SBQ | dragon boat racing | Row 8
✅ Saved → SBQ | dragon boat racing | Row 9
✅ Saved → SBQ | dragon boat racing | Row 10
✅ Saved → SBQ | dragon boat racing | Row 11
✅ Saved → SBQ | dragon boat racing | Row 12
✅ Saved → SBQ | dragon boat racing | Row 13
✅ Saved → SBQ | dragon boat racing | Row 14
✅ Saved → SBQ | dragon boat racing | Row 15
✅ Saved → SBQ | dragon boat racing | Row 16
✅ Saved → SBQ | dragon boat racing | Row 17
✅ Saved → SBQ | dragon boat racing | Row 18
✅ Saved → SBQ | dragon boat racing | Row 19
✅ Saved → SBQ | dragon boat racing | Row 20
✅ Saved → SBQ | dragon boat racing | Row 21
✅ Saved → SBQ | dragon boat racing | Row 22
✅ Saved → SBQ | dragon boat racing | Row 23
✅ Saved → SBQ | dragon boat racing | Row 24
✅ Saved → SBQ | dragon boat racing | Row 25
✅ Saved → SBQ | dragon boat racing | Row 26
✅ Saved → SBQ | dragon boat racing | Row 27
✅ Saved → SBQ | dragon boat racing | Row 28
✅ Saved → SBQ | dragon boat racing | Row 29
✅ Saved → SBQ | dragon boat racing | Row 30
✅ Saved → SBQ | dragon boat racing | Row 31
✅ Saved → SBQ | dragon boat racing | Row 32
✅ Saved → SBQ | dragon boat racing | Row 33
✅ Saved → SBQ | dragon boat racing | Row 34
✅ Saved → SBQ | dragon boat racing | Row 35
✅ Saved → SBQ | dragon boat racing | Row 36
✅ Saved → SBQ | dragon boat racing | Row 37
✅ Saved → SBQ | dragon boat racing | Row 38
✅ Saved → SBQ | dragon boat racing | Row 39
✅ Saved → SBQ | dragon boat racing | Row 40
✅ Saved → SBQ | dragon boat racing | Row 41
✅ Saved → SBQ | dragon boat racing | Row 42
✅ Saved → SBQ | dragon boat racing | Row 43
✅ Saved → SBQ | dragon boat racing | Row 44
✅ Saved → SBQ | dragon boat racing | Row 45
✅ Saved → SBQ | dragon boat racing | Row 46
✅ Saved → SBQ | dragon boat racing | Row 47
✅ Saved → SBQ | dragon boat racing | Row 48
✅ Saved → SBQ | dragon boat racing | Row 49
✅ Saved → SBQ | dragon boat racing | Row 50
✅ Saved → SBQ | dragon boat racing | Row 51
✅ Saved → SBQ | dragon boat racing | Row 52
✅ Saved → SBQ | dragon boat racing | Row 53
✅ Saved → SBQ | dragon boat racing | Row 54
✅ Saved → SBQ | dragon boat racing | Row 55
✅ Saved → SBQ | dragon boat racing | Row 56
✅ Saved → SBQ | dragon boat racing | Row 57
✅ Saved → SBQ | dragon boat racing | Row 58
✅ Saved → SBQ | dragon boat racing | Row 59
✅ Saved → SBQ | dragon boat racing | Row 60
✅ Saved → SBQ | dragon boat racing | Row 61
✅ Saved → SBQ | dragon boat racing | Row 62
✅ Saved → SBQ | dragon boat racing | Row 63
✅ Saved → SBQ | dragon boat racing | Row 64
✅ Saved → SBQ | dragon boat racing | Row 65
✅ Saved → SBQ | dragon boat racing | Row 66
✅ Saved → SBQ | dragon boat racing | Row 67
✅ Saved → SBQ | dragon boat racing | Row 68
✅ Saved → SBQ | dragon boat racing | Row 69
✅ Saved → SBQ | dragon boat racing | Row 70
✅ Saved → SBQ | dragon boat racing | Row 71
✅ Saved → SBQ | dragon boat racing | Row 72
✅ Saved → SBQ | dragon boat racing | Row 73
✅ Saved → SBQ | dragon boat racing | Row 74
✅ Saved → SBQ | dragon boat racing | Row 75
✅ Saved → SBQ | dragon boat racing | Row 76
✅ Saved → SBQ | dragon boat racing | Row 77
✅ Saved → SBQ | dragon boat racing | Row 78
✅ Saved → SBQ | dragon boat racing | Row 79
✅ Saved → SBQ | dragon boat racing | Row 80
✅ Saved → SBQ | dragon boat racing | Row 81
✅ Saved → SBQ | dragon boat racing | Row 82
✅ Saved → SBQ | dragon boat racing | Row 83
✅ Saved → SBQ | dragon boat racing | Row 84
✅ Saved → SBQ | dragon boat racing | Row 85
✅ Saved → SBQ | dragon boat racing | Row 86
✅ Saved → SBQ | dragon boat racing | Row 87
✅ Saved → SBQ | dragon boat racing | Row 88
✅ Saved → SBQ | dragon boat racing | Row 89
✅ Saved → SBQ | dragon boat racing | Row 90
✅ Saved → SBQ | dragon boat racing | Row 91
✅ Saved → SBQ | dragon boat racing | Row 92
✅ Saved → SBQ | dragon boat racing | Row 93
✅ Saved → SBQ | dragon boat racing | Row 94
✅ Saved → SBQ | dragon boat racing | Row 95
✅ Saved → SBQ | dragon boat racing | Row 96
✅ Saved → SBQ | dragon boat racing | Row 97
✅ Saved → SBQ | dragon boat racing | Row 98
✅ Saved → SBQ | dragon boat racing | Row 99
✅ Saved → SBQ | dragon boat racing | Row 100
✅ Saved → SBQ | dragon boat racing | Row 101
✅ Saved → SBQ | dragon boat racing | Row 102
✅ Saved → SBQ | dragon boat racing | Row 103
✅ Saved → SBQ | dragon boat racing | Row 104
✅ Saved → SBQ | dragon boat racing | Row 105
✅ Saved → SBQ | dragon boat racing | Row 106
✅ Saved → SBQ | dragon boat racing | Row 107
✅ Saved → SBQ | dragon boat racing | Row 108
✅ Saved → SBQ | dragon boat racing | Row 109
✅ Saved → SBQ | dragon boat racing | Row 110
✅ Saved → SBQ | dragon boat racing | Row 111
✅ Saved → SBQ | dragon boat racing | Row 112
✅ Saved → SBQ | dragon boat racing | Row 113
✅ Saved → SBQ | dragon boat racing | Row 114
✅ Saved → SBQ | dragon boat racing | Row 115
✅ Saved → SBQ | dragon boat racing | Row 116
✅ Saved → SBQ | dragon boat racing | Row 117
✅ Saved → SBQ | dragon boat racing | Row 118
✅ Saved → SBQ | dragon boat racing | Row 119
✅ Saved → SBQ | dragon boat racing | Row 120
✅ Saved → SBQ | dragon boat racing | Row 121
✅ Saved → SBQ | dragon boat racing | Row 122
✅ Saved → SBQ | dragon boat racing | Row 123
✅ Saved → SBQ | dragon boat racing | Row 124
✅ Saved → SBQ | dragon boat racing | Row 125
✅ Saved → SBQ | dragon boat racing | Row 126
✅ Saved → SBQ | dragon boat racing | Row 127
✅ Saved → SBQ | dragon boat racing | Row 128
✅ Saved → SBQ | dragon boat racing | Row 129
✅ Saved → SBQ | dragon boat racing | Row 130
✅ Saved → SBQ | dragon boat racing | Row 131
✅ Saved → SBQ | dragon boat racing | Row 132
✅ Saved → SBQ | dragon boat racing | Row 133
✅ Saved → SBQ | dragon boat racing | Row 134
✅ Saved → SBQ | dragon boat racing | Row 135
✅ Saved → SBQ | dragon boat racing | Row 136
✅ Saved → SBQ | dragon boat racing | Row 137
✅ Saved → SBQ | dragon boat racing | Row 138
✅ Saved → SBQ | dragon boat racing | Row 139
✅ Saved → SBQ | dragon boat racing | Row 140
✅ Saved → SBQ | dragon boat racing | Row 141
✅ Saved → SBQ | dragon boat racing | Row 142
✅ Saved → SBQ | dragon boat racing | Row 143
✅ Saved → SBQ | dragon boat racing | Row 144
✅ Saved → SBQ | dragon boat racing | Row 145
jianzi
✅ Saved → SBQ | jianzi | Row 0
✅ Saved → SBQ | jianzi | Row 1
✅ Saved → SBQ | jianzi | Row 2
✅ Saved → SBQ | jianzi | Row 3
✅ Saved → SBQ | jianzi | Row 4
✅ Saved → SBQ | jianzi | Row 5
✅ Saved → SBQ | jianzi | Row 6
✅ Saved → SBQ | jianzi | Row 7
✅ Saved → SBQ | jianzi | Row 8
✅ Saved → SBQ | jianzi | Row 9
✅ Saved → SBQ | jianzi | Row 10
✅ Saved → SBQ | jianzi | Row 11
✅ Saved → SBQ | jianzi | Row 12
✅ Saved → SBQ | jianzi | Row 13
✅ Saved → SBQ | jianzi | Row 14
✅ Saved → SBQ | jianzi | Row 15
✅ Saved → SBQ | jianzi | Row 16
✅ Saved → SBQ | jianzi | Row 17
✅ Saved → SBQ | jianzi | Row 18
✅ Saved → SBQ | jianzi | Row 19
✅ Saved → SBQ | jianzi | Row 20
✅ Saved → SBQ | jianzi | Row 21
✅ Saved → SBQ | jianzi | Row 22
✅ Saved → SBQ | jianzi | Row 23
✅ Saved → SBQ | jianzi | Row 24
✅ Saved → SBQ | jianzi | Row 25
✅ Saved → SBQ | jianzi | Row 26
✅ Saved → SBQ | jianzi | Row 27
✅ Saved → SBQ | jianzi | Row 28
✅ Saved → SBQ | jianzi | Row 29
✅ Saved → SBQ | jianzi | Row 30
✅ Saved → SBQ | jianzi | Row 31
✅ Saved → SBQ | jianzi | Row 32
✅ Saved → SBQ | jianzi | Row 33
✅ Saved → SBQ | jianzi | Row 34
✅ Saved → SBQ | jianzi | Row 35
✅ Saved → SBQ | jianzi | Row 36
✅ Saved → SBQ | jianzi | Row 37
✅ Saved → SBQ | jianzi | Row 38
✅ Saved → SBQ | jianzi | Row 39
✅ Saved → SBQ | jianzi | Row 40
✅ Saved → SBQ | jianzi | Row 41
✅ Saved → SBQ | jianzi | Row 42
✅ Saved → SBQ | jianzi | Row 43
✅ Saved → SBQ | jianzi | Row 44
✅ Saved → SBQ | jianzi | Row 45
✅ Saved → SBQ | jianzi | Row 46
✅ Saved → SBQ | jianzi | Row 47
✅ Saved → SBQ | jianzi | Row 48
✅ Saved → SBQ | jianzi | Row 49
✅ Saved → SBQ | jianzi | Row 50
✅ Saved → SBQ | jianzi | Row 51
✅ Saved → SBQ | jianzi | Row 52
✅ Saved → SBQ | jianzi | Row 53
✅ Saved → SBQ | jianzi | Row 54
✅ Saved → SBQ | jianzi | Row 55
✅ Saved → SBQ | jianzi | Row 56
✅ Saved → SBQ | jianzi | Row 57
✅ Saved → SBQ | jianzi | Row 58
✅ Saved → SBQ | jianzi | Row 59
✅ Saved → SBQ | jianzi | Row 60
✅ Saved → SBQ | jianzi | Row 61
✅ Saved → SBQ | jianzi | Row 62
✅ Saved → SBQ | jianzi | Row 63
✅ Saved → SBQ | jianzi | Row 64
✅ Saved → SBQ | jianzi | Row 65
✅ Saved → SBQ | jianzi | Row 66
✅ Saved → SBQ | jianzi | Row 67
✅ Saved → SBQ | jianzi | Row 68
✅ Saved → SBQ | jianzi | Row 69
✅ Saved → SBQ | jianzi | Row 70
✅ Saved → SBQ | jianzi | Row 71
✅ Saved → SBQ | jianzi | Row 72
✅ Saved → SBQ | jianzi | Row 73
✅ Saved → SBQ | jianzi | Row 74
✅ Saved → SBQ | jianzi | Row 75
✅ Saved → SBQ | jianzi | Row 76
✅ Saved → SBQ | jianzi | Row 77
✅ Saved → SBQ | jianzi | Row 78
✅ Saved → SBQ | jianzi | Row 79
✅ Saved → SBQ | jianzi | Row 80
✅ Saved → SBQ | jianzi | Row 81
✅ Saved → SBQ | jianzi | Row 82
✅ Saved → SBQ | jianzi | Row 83
✅ Saved → SBQ | jianzi | Row 84
✅ Saved → SBQ | jianzi | Row 85
✅ Saved → SBQ | jianzi | Row 86
✅ Saved → SBQ | jianzi | Row 87
✅ Saved → SBQ | jianzi | Row 88
✅ Saved → SBQ | jianzi | Row 89
✅ Saved → SBQ | jianzi | Row 90
✅ Saved → SBQ | jianzi | Row 91
✅ Saved → SBQ | jianzi | Row 92
✅ Saved → SBQ | jianzi | Row 93
Traceback (most recent call last):
  File "/DATA/rohan_kirti/niladri/country/china/SBQ/run.py", line 204, in <module>
    score, mistake, improved_question,improved_options, correct_answer = ask_llm(q, option, ans)
                                                                         ^^^^^^^^^^^^^^^^^^^^^^^
  File "/DATA/rohan_kirti/niladri/country/china/SBQ/run.py", line 65, in ask_llm
    response.raise_for_status()
  File "/DATA/rohan_kirti/miniconda3/envs/salesbot/lib/python3.11/site-packages/requests/models.py", line 1026, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 429 Client Error: Too Many Requests for url: https://cloud.olakrutrim.com/v1/chat/completions

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/DATA/rohan_kirti/niladri/country/china/SBQ/run.py", line 206, in <module>
    score, mistake, improved_question, improved_options = f"ERROR: {e}"
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: too many values to unpack (expected 4)
